name,price,description,specifications
Bayam,Rp. 5.000,"Bayam Bayam kami adalah sumber zat besi yang hebat, baik untuk kesehatan Anda. Nikmati bayam dalam salad, smoothie, atau sebagai bahan tambahan pada masakan lainnya. Rasa dan kesegarannya pasti akan memuaskan.","Beradaptasi baik didataran rendah - tinggi; Benih Bayam tahan virus; Potensi hasil 0,8 – 1,1 kg/tanaman; Panjang buah 6,3 – 7,1 cm; Diameter buah ± 1 – 1,2 cm; Tinggi tanaman 110 – 130 cm; Berat buah 2,4 – 2,7 gr; Dapat dipanen umur 80 – 95 HST"
Brokoli,Rp. 10.000,"Brokoli adalah sayuran hijau yang kaya akan nutrisi dan sangat bermanfaat bagi kesehatan. Sayuran ini mengandung serat tinggi, vitamin C, K, dan A, serta berbagai antioksidan yang membantu meningkatkan sistem kekebalan tubuh dan menjaga kesehatan jantung.","Beradaptasi baik didataran rendah - tinggi; Benih Brokoli tahan virus; Potensi hasil 0,8 – 1,1 kg/tanaman; Panjang buah 6,3 – 7,1 cm; Diameter buah ± 1 – 1,2 cm; Tinggi tanaman 110 – 130 cm; Berat buah 2,4 – 2,7 gr; Dapat dipanen umur 80 – 95 HST"
Buncis,Rp. 10.000,"Buncis adalah sayuran hijau yang kaya akan nutrisi dan sangat bermanfaat bagi kesehatan. Buncis mengandung serat tinggi, vitamin C, K, dan A, serta berbagai antioksidan yang membantu meningkatkan sistem kekebalan tubuh, menjaga kesehatan mata, dan mendukung kesehatan tulang.","Beradaptasi baik didataran rendah - tinggi; Benih BenihBuncis.png tahan virus; Potensi hasil 0,8 – 1,1 kg/tanaman; Panjang buah 6,3 – 7,1 cm; Diameter buah ± 1 – 1,2 cm; Tinggi tanaman 110 – 130 cm; Berat buah 2,4 – 2,7 gr; Dapat dipanen umur 80 – 95 HST"
Benih Cabai Keriting,Rp. 5.000,"Benih cabai keriting dengan penciri utama buah keras dan padat ketika dipanen, ukuran buah pertama dan kedua cenderung lebih besar.","Beradaptasi baik didataran sedang – atas; Ruas cabang pendek; Panjang buah 16 – 18 cm; Diameter buah 0,4 – 0,6 cm; Warna buah hijau tua dan merah menyala setelah matang; Bentuk buah panjang keriting; Dapat dipanen umur ± 90 HST; Toleran terhadap virus"
Benih Cabai Rawit,Rp. 5.000,"Benih cabai rawit unggulan dengan penciri utama tanaman rawit tahan virus namun muncur tunas air, ukuran buah sedang dan daun bergelombang.","Beradaptasi baik didataran rendah -  tinggi; Benih cabai tahan virus; Potensi hasil 0,8 – 1,1 kg/tanaman; Panjang buah 6,3 – 7,1 cm; Diameter buah ± 1 – 1,2 cm; Tinggi tanaman 110 – 130 cm; Berat buah 2,4 – 2,7 gr; Dapat dipanen umur 80 – 95 HST"
Cal-Ha,Rp. 5.000,"Kombinasi unsur hara Kalsium (Ca) organik dengan Humat (HA) berbentuk tepung dilengkapi unsur hara mikro yang efektif untuk meningkatkan kekuatan jaringan tanaman, mencegah kerontokan bunga/buah, mencegah busuk ujung buah & mati pucuk, sekaligus meningkatkan kualitas tumbuh serta produktivitas tanaman pangan, hortikultura dan perkebunan.",Mencegah dan mengatasi gejala busuk ujung buah; Memperkokoh fisik tanaman sehingga tidak mudah rebah.; Mencegah dan mengatasi rontok bunga dan buah.; Mencegah gejala mati pucuk pada tanaman-tanaman muda; Mengurangi dan menghambat pertumbuhan jamur-jamur patogen.
Impresol,Rp. 5.000,"IMPRESOL merupakan pupuk kalium organic chellate asam humat dan dilengkapi dengan unsur Fe. Produk ini merupakan pengembangan pupuk asam humat larut air yang selain berfungsi sebagai pupuk organik juga berfungsi sebagai pembenah tanah.
                                IMPRESOL direkomendasikan penggunaannya secara rutin maupun kondisional untuk memenuhi kebutuhan unsur hara Kalium secara aman terutama disaat-saat tanaman sedang dalam keadaan terdampak oleh serangan hama dan penyakit (fungi maupun bakteri).","Meningkatkan respon tanaman terhadap pemupukan dan penyerapan karbon.; Meningkatkan permeabilitas dan daya serap sel tanaman terhadap nutrien.; Menunjang pembentukan enzim-enzim dan hormon tumbuh dalam tubuh tanaman.; Menetralisir keasaman permukaan daun yang menyebabkan berkembangnya jamur patogen.; Mencegah stress tanaman akibat cuaca, serta mengatasi pucuk-pucuk daun menguning."
Jagung,Rp. 5.000,"Jagung Manis Rasakan manisnya jagung segar yang dipanen langsung dari kebun! Cocok untuk direbus, dipanggang, atau dijadikan campuran dalam berbagai masakan, jagung kami memberikan rasa yang lezat dan nutrisi yang melimpah.","Beradaptasi baik didataran rendah - tinggi; Jagung tahan virus; Potensi hasil 0,8 – 1,1 kg/tanaman; Panjang buah 6,3 – 7,1 cm; Diameter buah ± 1 – 1,2 cm; Tinggi tanaman 110 – 130 cm; Berat buah 2,4 – 2,7 gr; Dapat dipanen umur 80 – 95 HST"
Benih Kacang Panjang,Rp. 5.000,"Benih kacang panjang unggul dengan penciri utama bunga / buah awal muncul dari batang tengah tanaman, baru kemudian disusul buah dari bawah dan atas.","Beradaptasi baik didataran rendah - menengah; Toleransi terhadap virus; Potensi hasil 36 – 40 ton/ha; Ukuran buah ± 65 – 82 cm; Biji berwarna coklat putih dan polong hijau panjang; Bunga berwarna putih; Kebutuhan benih 5,5 – 7 kg/ha; Dapat dipanen mulai ± 45 – 48 HST"
Kalinet,Rp. 5.000,"Kombinasi sinergis unsur kalium dan boron konsentrasi tinggi dalam bentuk kationik dan instan. Mudah diserap dan dimanfaatkan tanaman untuk mengoptimalkan pembentukan buah, bulir, biji, polong, dan umbi, meningkatkan rendemen, kualitas dan daya simpan hasil panen. KALINET dianjurkan penggunaannya terutama pada saat tanaman mencapai fase generatif / produktif dimana dalam tubuh tanaman terjadi biosintesis karbohidrat dalam jumlah besar untuk pembentukan buah / umbi / biji / polong.","Membatasi pertumbuhan vegetatif yang berlebihan.; Mempertahankan kondisi daun tua agar tetap berfotosintesis.; Mencegah kemacetan pertumbuhan pada titik-titik tumbuh seperti tunas, ujung akar, dan anakan.; Meningkatkan bobot, kualitas, ukuran, rendemen serta daya simpan hasil panen.; Mencegah stress tanaman akibat cuaca, serta mengatasi pucuk-pucuk daun menguning."
Kangkung,Rp. 5.000,"Kangkung Kangkung segar kami kaya akan antioksidan dan sangat mudah diolah. Sempurna untuk tumisan atau salad, kangkung ini memberikan warna cerah dan rasa yang lezat pada setiap hidangan.","Beradaptasi baik didataran rendah - tinggi; Kangkung tahan virus; Potensi hasil 0,8 – 1,1 kg/tanaman; Panjang buah 6,3 – 7,1 cm; Diameter buah ± 1 – 1,2 cm; Tinggi tanaman 110 – 130 cm; Berat buah 2,4 – 2,7 gr; Dapat dipanen umur 80 – 95 HST"
Kol,Rp. 5.000,"Kol Segar Kol kami memiliki daun yang tebal dan crunchy, ideal untuk membuat salad, gulai, atau acar. Kandungan seratnya tinggi, menjadikannya pilihan yang baik untuk pencernaan yang sehat.","Beradaptasi baik didataran rendah - tinggi; Kol tahan virus; Potensi hasil 0,8 – 1,1 kg/tanaman; Panjang buah 6,3 – 7,1 cm; Diameter buah ± 1 – 1,2 cm; Tinggi tanaman 110 – 130 cm; Berat buah 2,4 – 2,7 gr; Dapat dipanen umur 80 – 95 HST"
Labusiam,Rp. 5.000,"Labusiam Labusiam kami menawarkan rasa yang ringan dan tekstur yang kenyal. Cocok untuk sayur sop, tumisan, atau bahkan sebagai bahan utama dalam hidangan penutup, labu siam kami pasti akan memikat selera Anda.","Beradaptasi baik didataran rendah - tinggi; Labusiam tahan virus; Potensi hasil 0,8 – 1,1 kg/tanaman; Panjang buah 6,3 – 7,1 cm; Diameter buah ± 1 – 1,2 cm; Tinggi tanaman 110 – 130 cm; Berat buah 2,4 – 2,7 gr; Dapat dipanen umur 80 – 95 HST"
Mordenfol,Rp. 5.000,"Pupuk cair dalam bentuk senyawa magnesium pirofosfat instan high concentrate, digunakan terutama saat tanaman membutuhkan suplai energy tinggi yaitu fase pertumbuhan awal, fase pembentukan bunga, dan saat mengalami serangan penyakit / cuaca buruk.
                                Terdapat fase-fase dimana tanaman membutuhkan suplai energi yang cukup tinggi, diantaranya fase pertumbuhan awal setelah pindah tanam, fase pembentukan bunga dan calon buah, saat tanaman sedang mengalami tekanan lingkungan (cuaca / iklim), serta saat tanaman berupaya memulihkan sel-selnya setelah terdampak serangan hama dan penyakit.","Merangsang pembentukan bulu dan serabut akar, tunas, cabang, anakan.; Merangsang bunga produktif, meningkatkan kepadatan polong mupun biji-bijian.; Meningkatkan pembentukan biji-bijian, polon dan bulir padi.; Mempertahankan kadar klorofil (zat hijau daun) pada tanaman dewasa.; Meningkatkan energi saat pemulihan kondisi tanaman setelah terserang hama / penyakit."
Orinit,Rp. 5.000,"Pada tanaman padi-padian (gramineae) seperti padi, jagung, gandum dan tebu silika tergolong unsur hara messo yang sangat penting dengan peranannya sebagai salah satu komponen pembentuk dinding sel. Dalam kondisi umum tanaman mengambil unsur silika dari tanah, terutama pada tanah-tanah liat dan vulkanik yang sangat kaya akan silika. Akan tetapi unsur silika pada tanah membutuhkan waktu sangat lama agar terkonversi menjadi bentuk yang siap terserap tanaman.","Menghambat perkembangan gejala blast oleh jamur maupun bakteri pada tanaman padi.; Meningkatkan aktivitas dan kapasitas pengisian tongkol jagung dan menekan gejala bule selama masa pertumbuhan tanaman jagung.; Meningkatkan kuantitas, bobot, kualitas dan daya simpan hasil panen. Pada tanaman padi membuat beras lebih mengkilap dan tidak mudah hancur.; Mengurangi keasaman pada permukaan tanaman terutama setelah hujan malam hari sehingga efektif menekan inkubasi jamur patogen.; Mencegah stress tanaman akibat cuaca, serta mengatasi pucuk-pucuk daun menguning."
Benih Paria,Rp. 5.000,Benih paria hibrida dengan penciri utama ujung buah lancip dan warna buah hijau muda agak gelap.,Beradaptasi baik didataran rendah - menengah; Tipe pertumbuhan merambat; Potensi hasil 25 – 35 ton/ha; Diameter buah 7 - 8 cm; Bobot buah 350 – 700 gr/buah; Warna kulit buah hijau; Bentuk buah silindris; Daging buah tebal dan rasa sedikit pahit
Powersoil,Rp. 5.000,Asam humat (humic acid) telah dikenal sebagai inti atau saripati pupuk organik.  Berasal dari sisa-sisa tanaman yang  mengalami pelapukan / dekomposisi beratus tahun secara alami (humifikasi) sehingga hanya menyisakan fraksi-fraksi humus yang telah dikenal sebagai material pembenah tanah dan nutrisi bagi tanaman.,"Mengurangi residu pupuk kimia dan pestisida dalam tanah.; Sebagai pH buffer (penyangga pH) pada tanah-tanah asam ataupun alkalis.; Membebaskan ion-ion hara N, P, dan K yang terikat pada partikel tanah agar mudah diserap tanaman.; Meningkatkan kapasitas ikat air pada tanah sehingga mengurangi dampak kekurangan air bagi tanaman.; Memperbaiki Kapasitas Tukar Kation (KTK) unsur hara pada tanah-tanah pertanian yang ditanami terus menerus."
Sawi,Rp. 5.000,"Sawi Hijau Sawi hijau kami kaya akan vitamin dan mineral, sempurna untuk salad, tumisan, atau sup. Dengan tekstur renyah dan rasa yang segar, sawi ini adalah pilihan sehat untuk setiap hidangan.","Beradaptasi baik didataran rendah - tinggi; Sawi tahan virus; Potensi hasil 0,8 – 1,1 kg/tanaman; Panjang buah 6,3 – 7,1 cm; Diameter buah ± 1 – 1,2 cm; Tinggi tanaman 110 – 130 cm; Berat buah 2,4 – 2,7 gr; Dapat dipanen umur 80 – 95 HST"
Selada,Rp. 5.000,"Selada Renyah Selada kami adalah pilihan sempurna untuk salad segar atau sebagai pelengkap sandwich. Dengan daun yang renyah dan rasa yang ringan, selada ini akan menambah kelezatan setiap hidangan.","Beradaptasi baik didataran rendah - tinggi; selada tahan virus; Potensi hasil 0,8 – 1,1 kg/tanaman; Panjang buah 6,3 – 7,1 cm; Diameter buah ± 1 – 1,2 cm; Tinggi tanaman 110 – 130 cm; Berat buah 2,4 – 2,7 gr; Dapat dipanen umur 80 – 95 HST"
Benih Terong,Rp. 5.000,Benih terong hibrida dengan penciri utama bentuk buah tidak pentil dan tidak pendek (berukuran sedang).,Beradaptasi baik didataran rendah - menengah; Tanaman vigor setiap percabangan muncul buah; Potensi hasil pertanaman 5 – 6 kg/pohon; Ukuran buah ± 27 – 30 cm; Diameter buah 5 – 6 cm; Warna buah hijau muda dengan bentuk silindris; Daging buah berwarna hijau muda dengan rasa manis; Dapat dipanen mulai 50 HST
Benih Timun,Rp. 5.000,Benih timun baby F1 dengan penciri utama buah muncul dari ketiak cabang bawah dengan warna buah dominan hijau.,"Beradaptasi baik didataran sedang - menengah; Muncul buah disetiap hampir ketiak daun; Potensi hasil 36 – 41 ton/ha; Ukuran buah 11,75 – 12,98 cm; Diameter buah 3,39 – 3,77 cm; Warna buah hijau dengan ujung buah putih; Bentuk buah tebal dan rasa manis; Dapat dipanen mulai 28 – 30 HST"
Benih Tomat,Rp. 5.000,Benih tomat hibrida dengan penciri utama ukuran buah bulat besar dan warna buah merah cerah saat matang.,"Beradaptasi baik di dataran rendah hingga menengah; Tipe pertumbuhan tegak; Potensi hasil 30 – 40 ton/ha; Diameter buah 6 - 8 cm; Bobot buah 150 – 250 gr/buah; Warna kulit buah hijau saat muda, merah saat matang; Bentuk buah bulat agak pipih; Daging buah tebal, berair, dan rasa manis"
Vigorin,Rp. 5.000,Pupuk cair organik dengan kandungan utama enzim – enzim metabolit dan hormon tumbuh untuk menyempurnakan metabolisme pada seluruh fase pertumbuhan tanaman untuk mencapai hasil dan kualitas panen optimal serta ketahanan fisik tanaman.,"Memaksimalkan metabolisme atau aktivitas pengubahan unsur hara yang diserap tanaman menjadi bagian-bagian tubuh tanaman.; Meningkatkan jumlah, bobot dan kualitas hasil panen.; Memperpanjang usia produktif tanaman yang dipetik berkali-kali.; Mempercepat pemulihan kondisi tanaman setelah terserang hama / penyakit.; Menambah kepadatan isi pada bulir padi dan jagung serta meningkatkan rendemen giling."
Vitaron,Rp. 5.000,"Suplemen tanaman berbentuk pekatan cair dengan kandungan unsur – unsur mikro esensial dalam bentuk chellated, mudah diserap dan dimanfaatkan tanaman sebagai katalisator dalam setiap proses metabolisme dalam tubuh tanaman.","Mencegah dan mengatasi gejala klorosis pada daun.; Mengoptimalkan pembentukan hormon-hormon tumbuh alami.; Memenuhi kebutuhan unsur mikro pada setiap fase tumbuh tanaman.; Memperbarui sel-sel tanaman setelah serangan hama dan penyakit (fungi, bakteri, virus).; Meningkatkan pengolahan unsur-unsur hara menjadi senyawa organik dan bagian-bagian tubuh (organ-organ) tanaman."
